<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<CLOSE>,<VOLUME>
OTP,0,20140121,090032,4415,775
OTP,0,20140121,090305,4429,1
OTP,0,20140121,090319,4430,245
OTP,0,20140121,090321,4434,300
OTP,0,20140121,090321,4435,1000
OTP,0,20140121,090329,4444,110
OTP,0,20140121,090341,4432,980
OTP,0,20140121,090344,4432,320
OTP,0,20140121,090348,4431,943
OTP,0,20140121,090352,4430,257
OTP,0,20140121,090359,4431,600
OTP,0,20140121,090359,4430,200
OTP,0,20140121,090408,4435,500
OTP,0,20140121,090413,4432,1060
OTP,0,20140121,090417,4432,320
OTP,0,20140121,090418,4442,1000
OTP,0,20140121,090419,4430,618
OTP,0,20140121,090430,4433,620
OTP,0,20140121,090440,4439,1000
OTP,0,20140121,090440,4433,580
OTP,0,20140121,090441,4440,217
OTP,0,20140121,090442,4440,783
OTP,0,20140121,090451,4440,217
OTP,0,20140121,090458,4441,1887
OTP,0,20140121,090543,4433,200
OTP,0,20140121,090550,4433,800
OTP,0,20140121,090606,4433,200
OTP,0,20140121,090606,4431,50
OTP,0,20140121,090610,4431,100
OTP,0,20140121,090628,4431,350
OTP,0,20140121,090628,4430,1000
OTP,0,20140121,090633,4429,220
OTP,0,20140121,090633,4430,1000
OTP,0,20140121,090643,4430,650
OTP,0,20140121,090644,4430,30
OTP,0,20140121,090700,4430,100
OTP,0,20140121,090715,4430,226
OTP,0,20140121,090743,4430,363
OTP,0,20140121,090808,4430,25
OTP,0,20140121,090826,4430,622
OTP,0,20140121,090834,4429,1000
OTP,0,20140121,090850,4430,295
OTP,0,20140121,090905,4430,1331
OTP,0,20140121,091258,4431,90
OTP,0,20140121,091310,4435,1000
OTP,0,20140121,091608,4431,50
OTP,0,20140121,091646,4436,154
OTP,0,20140121,091646,4437,71
OTP,0,20140121,091740,4437,150
OTP,0,20140121,091809,4436,20
OTP,0,20140121,091902,4437,150
OTP,0,20140121,092045,4437,55
OTP,0,20140121,092124,4437,674
OTP,0,20140121,092124,4439,108
OTP,0,20140121,092124,4440,2551
OTP,0,20140121,092126,4435,60
OTP,0,20140121,092341,4440,27
OTP,0,20140121,092354,4437,50
OTP,0,20140121,092414,4435,1473
OTP,0,20140121,092446,4438,15
OTP,0,20140121,092454,4435,1000
OTP,0,20140121,092508,4437,1339
OTP,0,20140121,092536,4444,1000
OTP,0,20140121,092537,4444,582
OTP,0,20140121,092537,4445,418
OTP,0,20140121,092537,4445,1000
OTP,0,20140121,092537,4445,582
OTP,0,20140121,092537,4449,418
OTP,0,20140121,092537,4449,1000
OTP,0,20140121,092537,4449,13
OTP,0,20140121,092537,4450,987
OTP,0,20140121,092538,4450,1000
OTP,0,20140121,092538,4450,982
OTP,0,20140121,092539,4450,400
OTP,0,20140121,092542,4450,618
OTP,0,20140121,092552,4450,333
OTP,0,20140121,092553,4450,1896
OTP,0,20140121,092553,4450,1489
OTP,0,20140121,092556,4450,382
OTP,0,20140121,092606,4450,1000
OTP,0,20140121,092615,4450,500
OTP,0,20140121,092639,4455,305
OTP,0,20140121,092639,4459,190
OTP,0,20140121,092639,4460,515
OTP,0,20140121,092639,4462,220
OTP,0,20140121,092639,4464,200
OTP,0,20140121,092639,4465,550
OTP,0,20140121,092639,4468,31
OTP,0,20140121,092639,4468,87
OTP,0,20140121,092639,4470,13
OTP,0,20140121,092644,4465,1251
OTP,0,20140121,092645,4470,1111
OTP,0,20140121,092649,4469,553
OTP,0,20140121,092700,4469,553
OTP,0,20140121,092717,4469,1000
OTP,0,20140121,092718,4465,6769
OTP,0,20140121,092722,4453,100
OTP,0,20140121,092725,4465,231
OTP,0,20140121,092742,4465,647
OTP,0,20140121,092801,4464,20
OTP,0,20140121,092805,4465,500
OTP,0,20140121,092814,4465,480
OTP,0,20140121,092828,4465,220
OTP,0,20140121,092900,4467,100
OTP,0,20140121,092900,4468,1000
OTP,0,20140121,092900,4469,949
OTP,0,20140121,092900,4470,2200
OTP,0,20140121,092916,4465,200
OTP,0,20140121,092924,4470,300
OTP,0,20140121,092941,4470,275
OTP,0,20140121,092945,4470,425
OTP,0,20140121,092951,4470,1575
OTP,0,20140121,093020,4470,292
OTP,0,20140121,093023,4471,200
