<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<CLOSE>,<VOLUME>
OTP,0,20140124,090004,4593,4671
OTP,0,20140124,090209,4593,125
OTP,0,20140124,090209,4595,10
OTP,0,20140124,090209,4598,15
OTP,0,20140124,090241,4585,60
OTP,0,20140124,090243,4585,40
OTP,0,20140124,090243,4580,5
OTP,0,20140124,090301,4593,949
OTP,0,20140124,090302,4594,651
OTP,0,20140124,090303,4595,120
OTP,0,20140124,090303,4595,937
OTP,0,20140124,090323,4595,100
OTP,0,20140124,090325,4581,120
OTP,0,20140124,090353,4581,50
OTP,0,20140124,090356,4581,130
OTP,0,20140124,090400,4580,905
OTP,0,20140124,090404,4580,170
OTP,0,20140124,090419,4580,237
OTP,0,20140124,090456,4580,100
OTP,0,20140124,090500,4580,224
OTP,0,20140124,090504,4580,50
OTP,0,20140124,090507,4580,20
OTP,0,20140124,090521,4575,141
OTP,0,20140124,090534,4575,50
OTP,0,20140124,090537,4572,100
OTP,0,20140124,090543,4572,16
OTP,0,20140124,090543,4571,284
OTP,0,20140124,090607,4571,50
OTP,0,20140124,090657,4572,50
OTP,0,20140124,090714,4574,70
OTP,0,20140124,090728,4574,683
OTP,0,20140124,090728,4575,500
OTP,0,20140124,090728,4573,31
OTP,0,20140124,090728,4572,150
OTP,0,20140124,090728,4571,199
OTP,0,20140124,090728,4570,183
OTP,0,20140124,090728,4570,100
OTP,0,20140124,090756,4570,10
OTP,0,20140124,090759,4570,100
OTP,0,20140124,090804,4570,25
OTP,0,20140124,090824,4570,200
OTP,0,20140124,090829,4570,300
OTP,0,20140124,090909,4575,944
OTP,0,20140124,090916,4570,32
OTP,0,20140124,090918,4566,180
OTP,0,20140124,090919,4565,244
OTP,0,20140124,090929,4570,255
OTP,0,20140124,090942,4565,62
OTP,0,20140124,090951,4563,30
OTP,0,20140124,091020,4569,17
OTP,0,20140124,091052,4569,500
OTP,0,20140124,091126,4565,72
OTP,0,20140124,091133,4565,120
OTP,0,20140124,091207,4565,8
OTP,0,20140124,091207,4563,2
OTP,0,20140124,091218,4563,25
OTP,0,20140124,091229,4563,143
OTP,0,20140124,091239,4563,200
OTP,0,20140124,091326,4562,70
OTP,0,20140124,091327,4562,173
OTP,0,20140124,091427,4562,1000
OTP,0,20140124,091432,4561,236
OTP,0,20140124,091432,4560,51
OTP,0,20140124,091432,4558,100
OTP,0,20140124,091447,4560,200
OTP,0,20140124,091453,4560,130
OTP,0,20140124,091455,4560,170
OTP,0,20140124,091609,4559,100
OTP,0,20140124,091614,4561,661
