<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<CLOSE>,<VOLUME>
OTP,0,20140128,090005,4290,16357
OTP,0,20140128,090208,4297,100
OTP,0,20140128,090208,4298,100
OTP,0,20140128,090208,4290,195
OTP,0,20140128,090209,4298,400
OTP,0,20140128,090221,4298,80
OTP,0,20140128,090223,4298,857
OTP,0,20140128,090223,4300,643
OTP,0,20140128,090228,4300,70
OTP,0,20140128,090239,4300,60
OTP,0,20140128,090250,4300,400
OTP,0,20140128,090251,4300,366
OTP,0,20140128,090251,4305,60
OTP,0,20140128,090251,4310,100
OTP,0,20140128,090251,4315,50
OTP,0,20140128,090251,4323,50
OTP,0,20140128,090251,4327,374
OTP,0,20140128,090259,4300,1500
OTP,0,20140128,090301,4327,584
OTP,0,20140128,090317,4310,883
OTP,0,20140128,090320,4309,384
OTP,0,20140128,090322,4309,90
OTP,0,20140128,090327,4309,25
OTP,0,20140128,090329,4309,1
OTP,0,20140128,090329,4310,487
OTP,0,20140128,090333,4310,1500
OTP,0,20140128,090340,4311,459
OTP,0,20140128,090358,4311,30
OTP,0,20140128,090413,4312,50
OTP,0,20140128,090413,4317,406
OTP,0,20140128,090429,4315,460
OTP,0,20140128,090430,4313,763
OTP,0,20140128,090430,4312,68
OTP,0,20140128,090430,4310,669
OTP,0,20140128,090432,4310,331
OTP,0,20140128,090432,4305,594
OTP,0,20140128,090432,4305,592
OTP,0,20140128,090438,4310,1053
OTP,0,20140128,090440,4310,98
OTP,0,20140128,090440,4310,18
OTP,0,20140128,090440,4314,400
OTP,0,20140128,090440,4315,182
OTP,0,20140128,090450,4305,498
OTP,0,20140128,090506,4310,50
OTP,0,20140128,090508,4310,672
OTP,0,20140128,090508,4314,1500
OTP,0,20140128,090509,4314,1500
OTP,0,20140128,090509,4314,1000
OTP,0,20140128,090509,4315,500
OTP,0,20140128,090509,4306,178
OTP,0,20140128,090509,4315,1500
OTP,0,20140128,090509,4315,1358
OTP,0,20140128,090514,4315,700
OTP,0,20140128,090514,4315,1500
OTP,0,20140128,090515,4315,697
OTP,0,20140128,090517,4318,940
OTP,0,20140128,090520,4317,416
OTP,0,20140128,090538,4315,150
OTP,0,20140128,090539,4315,867
OTP,0,20140128,090546,4315,500
OTP,0,20140128,090556,4315,808
OTP,0,20140128,090556,4316,586
OTP,0,20140128,090600,4316,1120
OTP,0,20140128,090618,4314,100
OTP,0,20140128,090645,4316,700
OTP,0,20140128,090651,4316,23
OTP,0,20140128,090655,4319,646
OTP,0,20140128,090655,4319,354
OTP,0,20140128,090658,4320,723
OTP,0,20140128,090706,4318,100
OTP,0,20140128,090708,4318,10
OTP,0,20140128,090708,4320,777
OTP,0,20140128,090710,4320,23
OTP,0,20140128,090717,4320,690
OTP,0,20140128,090728,4320,50
OTP,0,20140128,090731,4320,760
OTP,0,20140128,090732,4320,90
OTP,0,20140128,090739,4327,500
OTP,0,20140128,090739,4328,23
OTP,0,20140128,090739,4329,652
OTP,0,20140128,090739,4330,825
OTP,0,20140128,090740,4330,22
OTP,0,20140128,090749,4330,3
OTP,0,20140128,090757,4328,200
OTP,0,20140128,090815,4321,22
OTP,0,20140128,090819,4328,800
OTP,0,20140128,090819,4330,200
OTP,0,20140128,090823,4330,3000
OTP,0,20140128,090941,4321,32
OTP,0,20140128,090941,4320,2468
OTP,0,20140128,090944,4320,1000
OTP,0,20140128,090947,4320,100
OTP,0,20140128,091003,4320,150
OTP,0,20140128,091017,4321,1000
OTP,0,20140128,091023,4320,184
OTP,0,20140128,091051,4320,983
OTP,0,20140128,091058,4321,200
OTP,0,20140128,091101,4320,500
OTP,0,20140128,091102,4321,600
OTP,0,20140128,091109,4320,3865
OTP,0,20140128,091109,4320,200
OTP,0,20140128,091119,4320,935
OTP,0,20140128,091129,4320,1250
OTP,0,20140128,091135,4320,26
OTP,0,20140128,091143,4321,50
OTP,0,20140128,091145,4320,200
OTP,0,20140128,091153,4320,25
OTP,0,20140128,091201,4321,50
OTP,0,20140128,091209,4321,150
OTP,0,20140128,091222,4321,800
OTP,0,20140128,091240,4321,500
OTP,0,20140128,091251,4320,335
OTP,0,20140128,091351,4320,1031
OTP,0,20140128,091354,4321,40
OTP,0,20140128,091356,4321,15
OTP,0,20140128,091405,4320,5198
OTP,0,20140128,091417,4320,1500
OTP,0,20140128,091440,4315,2400
OTP,0,20140128,091445,4312,400
OTP,0,20140128,091448,4314,200
OTP,0,20140128,091449,4314,1020
OTP,0,20140128,091451,4314,115
OTP,0,20140128,091457,4314,100
OTP,0,20140128,091458,4314,485
OTP,0,20140128,091458,4310,515
OTP,0,20140128,091526,4311,30
OTP,0,20140128,091614,4311,500
OTP,0,20140128,091632,4311,110
OTP,0,20140128,091639,4311,60
OTP,0,20140128,091639,4310,1140
OTP,0,20140128,091640,4314,2001
OTP,0,20140128,091640,4315,999
OTP,0,20140128,091645,4310,55
OTP,0,20140128,091650,4310,45
OTP,0,20140128,091731,4313,20
OTP,0,20140128,091731,4314,500
OTP,0,20140128,091731,4315,480
OTP,0,20140128,091803,4310,20
OTP,0,20140128,091811,4310,105
OTP,0,20140128,091812,4310,5
OTP,0,20140128,091820,4313,288
OTP,0,20140128,091821,4313,312
OTP,0,20140128,091825,4314,758
OTP,0,20140128,091854,4314,1030
OTP,0,20140128,091854,4310,63
OTP,0,20140128,091910,4310,70
OTP,0,20140128,091910,4307,130
OTP,0,20140128,091945,4313,201
OTP,0,20140128,091945,4314,39
OTP,0,20140128,092033,4313,31
OTP,0,20140128,092043,4313,219
OTP,0,20140128,092043,4310,31
OTP,0,20140128,092108,4314,972
OTP,0,20140128,092108,4315,28
OTP,0,20140128,092110,4315,993
OTP,0,20140128,092204,4315,33
OTP,0,20140128,092241,4318,50
OTP,0,20140128,092244,4318,73
OTP,0,20140128,092309,4316,50
OTP,0,20140128,092334,4316,49
OTP,0,20140128,092334,4315,183
OTP,0,20140128,092355,4317,50
OTP,0,20140128,092356,4317,133
OTP,0,20140128,092416,4317,200
OTP,0,20140128,092427,4318,1000
OTP,0,20140128,092511,4317,667
OTP,0,20140128,092517,4317,200
OTP,0,20140128,092519,4316,40
OTP,0,20140128,092519,4317,916
OTP,0,20140128,092536,4316,10
OTP,0,20140128,092537,4315,217
OTP,0,20140128,092544,4315,200
OTP,0,20140128,092555,4316,338
OTP,0,20140128,092558,4317,462
OTP,0,20140128,092625,4315,374
OTP,0,20140128,092636,4312,600
OTP,0,20140128,092636,4311,371
OTP,0,20140128,092648,4312,30
OTP,0,20140128,092754,4312,191
OTP,0,20140128,092754,4311,980
OTP,0,20140128,092754,4310,1829
OTP,0,20140128,092800,4313,242
OTP,0,20140128,092800,4314,258
OTP,0,20140128,092811,4314,100
OTP,0,20140128,093003,4310,259
OTP,0,20140128,093010,4310,421
OTP,0,20140128,093020,4309,600
OTP,0,20140128,093029,4308,50
OTP,0,20140128,093034,4307,870
OTP,0,20140128,093046,4307,14
OTP,0,20140128,093048,4307,116
OTP,0,20140128,093048,4310,584
OTP,0,20140128,093049,4306,600
OTP,0,20140128,093055,4306,200
OTP,0,20140128,093113,4305,100
OTP,0,20140128,093113,4305,40
OTP,0,20140128,093127,4305,20
OTP,0,20140128,093131,4305,100
OTP,0,20140128,093204,4306,300
OTP,0,20140128,093215,4306,900
OTP,0,20140128,093215,4307,924
OTP,0,20140128,093227,4307,957
OTP,0,20140128,093227,4308,43
OTP,0,20140128,093234,4308,57
OTP,0,20140128,093234,4309,43
OTP,0,20140128,093428,4309,25
OTP,0,20140128,093448,4308,50
OTP,0,20140128,093448,4309,10
OTP,0,20140128,093452,4309,300
OTP,0,20140128,093648,4309,412
OTP,0,20140128,093655,4309,600
OTP,0,20140128,093725,4309,10
OTP,0,20140128,093725,4310,490
OTP,0,20140128,093909,4310,30
OTP,0,20140128,093916,4310,28
OTP,0,20140128,093944,4310,5000
OTP,0,20140128,094009,4311,100
OTP,0,20140128,094142,4311,105
OTP,0,20140128,094203,4311,120
OTP,0,20140128,094220,4311,200
OTP,0,20140128,094229,4310,47
OTP,0,20140128,094242,4311,1575
OTP,0,20140128,094251,4313,25
OTP,0,20140128,094257,4314,100
OTP,0,20140128,094257,4314,775
OTP,0,20140128,094342,4314,15
OTP,0,20140128,094358,4314,1610
OTP,0,20140128,094358,4315,890
OTP,0,20140128,094406,4311,70
OTP,0,20140128,094510,4314,100
OTP,0,20140128,094540,4313,50
OTP,0,20140128,094558,4312,10
OTP,0,20140128,094600,4311,2080
OTP,0,20140128,094604,4310,2500
OTP,0,20140128,094608,4310,1000
OTP,0,20140128,094610,4310,400
OTP,0,20140128,094612,4310,1426
OTP,0,20140128,094614,4310,600
OTP,0,20140128,094622,4310,500
OTP,0,20140128,094623,4310,300
OTP,0,20140128,094646,4309,50
OTP,0,20140128,094715,4309,5
OTP,0,20140128,094721,4307,799
OTP,0,20140128,094721,4306,100
OTP,0,20140128,094721,4305,1101
OTP,0,20140128,094729,4305,134
OTP,0,20140128,094749,4310,1252
OTP,0,20140128,094749,4312,1490
OTP,0,20140128,094753,4312,2258
OTP,0,20140128,094827,4309,162
OTP,0,20140128,094841,4308,138
OTP,0,20140128,094843,4308,100
OTP,0,20140128,094848,4304,758
OTP,0,20140128,094850,4303,1600
OTP,0,20140128,094850,4301,400
OTP,0,20140128,094852,4304,4242
OTP,0,20140128,094917,4309,26
OTP,0,20140128,094919,4305,700
OTP,0,20140128,094938,4305,58
OTP,0,20140128,094938,4302,42
OTP,0,20140128,094957,4302,2000
OTP,0,20140128,095102,4302,50
OTP,0,20140128,095115,4302,120
OTP,0,20140128,095118,4303,100
OTP,0,20140128,095122,4303,97
OTP,0,20140128,095122,4304,527
OTP,0,20140128,095208,4304,400
OTP,0,20140128,095229,4304,6
OTP,0,20140128,095313,4302,50
OTP,0,20140128,095339,4305,230
OTP,0,20140128,095344,4302,439
OTP,0,20140128,095344,4301,2134
OTP,0,20140128,095344,4300,12427
OTP,0,20140128,095349,4300,1869
OTP,0,20140128,095420,4295,921
OTP,0,20140128,095420,4295,67
OTP,0,20140128,095420,4293,333
OTP,0,20140128,095420,4293,200
OTP,0,20140128,095431,4299,100
OTP,0,20140128,095443,4293,271
OTP,0,20140128,095504,4299,40
OTP,0,20140128,095538,4293,10
OTP,0,20140128,095628,4293,686
OTP,0,20140128,095709,4293,860
OTP,0,20140128,095723,4294,356
OTP,0,20140128,095726,4298,444
OTP,0,20140128,095900,4297,196
OTP,0,20140128,095929,4297,86
OTP,0,20140128,095942,4294,112
OTP,0,20140128,100110,4294,82
OTP,0,20140128,100110,4293,418
OTP,0,20140128,100114,4297,140
OTP,0,20140128,100124,4297,360
OTP,0,20140128,100140,4297,1000
OTP,0,20140128,100343,4297,186
OTP,0,20140128,100343,4298,114
OTP,0,20140128,100513,4293,30
OTP,0,20140128,100736,4298,111
OTP,0,20140128,100805,4295,1165
OTP,0,20140128,100829,4295,20
OTP,0,20140128,100844,4295,143
OTP,0,20140128,100847,4295,500
OTP,0,20140128,100856,4295,40
OTP,0,20140128,100903,4295,200
OTP,0,20140128,101041,4292,151
OTP,0,20140128,101100,4295,3709
OTP,0,20140128,101121,4299,1500
OTP,0,20140128,101138,4300,1500
OTP,0,20140128,101138,4300,1500
OTP,0,20140128,101138,4300,1500
OTP,0,20140128,101140,4300,1500
OTP,0,20140128,101207,4300,1013
OTP,0,20140128,101215,4300,1500
OTP,0,20140128,101354,4309,276
OTP,0,20140128,101354,4310,1025
OTP,0,20140128,101417,4312,900
OTP,0,20140128,101417,4315,800
OTP,0,20140128,101417,4310,199
OTP,0,20140128,101504,4310,100
OTP,0,20140128,101814,4305,233
OTP,0,20140128,102041,4305,979
OTP,0,20140128,102157,4303,20
OTP,0,20140128,102246,4309,250
OTP,0,20140128,102526,4309,115
OTP,0,20140128,102611,4303,980
OTP,0,20140128,102618,4301,900
OTP,0,20140128,102626,4300,100
OTP,0,20140128,102630,4309,1923
OTP,0,20140128,102654,4309,50
OTP,0,20140128,102726,4309,100
OTP,0,20140128,102735,4309,3300
OTP,0,20140128,102739,4309,27
OTP,0,20140128,102933,4309,14
OTP,0,20140128,102958,4309,46
OTP,0,20140128,103024,4309,115
OTP,0,20140128,103038,4309,1061
OTP,0,20140128,103038,4310,89
OTP,0,20140128,103134,4310,235
OTP,0,20140128,103313,4310,2359
OTP,0,20140128,103349,4310,100
OTP,0,20140128,103411,4311,20
OTP,0,20140128,103420,4311,927
OTP,0,20140128,103420,4315,825
OTP,0,20140128,103420,4316,248
OTP,0,20140128,103420,4316,102
OTP,0,20140128,103439,4315,500
OTP,0,20140128,103444,4315,500
OTP,0,20140128,103526,4315,636
OTP,0,20140128,103530,4316,319
OTP,0,20140128,103704,4316,230
OTP,0,20140128,103752,4316,200
OTP,0,20140128,103813,4315,858
OTP,0,20140128,103833,4316,41
OTP,0,20140128,103834,4315,3742
OTP,0,20140128,103836,4316,10
OTP,0,20140128,103840,4313,25
OTP,0,20140128,103848,4316,10
OTP,0,20140128,103901,4316,59
OTP,0,20140128,104035,4316,60
OTP,0,20140128,104136,4311,26938
OTP,0,20140128,104147,4305,690
OTP,0,20140128,104229,4311,95
OTP,0,20140128,104229,4304,500
OTP,0,20140128,104239,4303,1037
OTP,0,20140128,104411,4307,1827
OTP,0,20140128,104429,4302,1500
OTP,0,20140128,104429,4301,2000
OTP,0,20140128,104603,4301,300
OTP,0,20140128,104609,4301,400
OTP,0,20140128,104609,4300,4600
OTP,0,20140128,104623,4300,1152
OTP,0,20140128,104654,4301,500
OTP,0,20140128,104758,4303,500
OTP,0,20140128,104824,4303,800
OTP,0,20140128,104935,4301,200
OTP,0,20140128,105028,4301,100
OTP,0,20140128,105037,4304,953
OTP,0,20140128,105041,4310,65
OTP,0,20140128,105045,4311,1405
OTP,0,20140128,105055,4310,255
OTP,0,20140128,105224,4310,10
OTP,0,20140128,105522,4305,69
OTP,0,20140128,105535,4304,1000
OTP,0,20140128,105544,4304,2057
OTP,0,20140128,105550,4301,30
OTP,0,20140128,105551,4300,858
OTP,0,20140128,105555,4300,2000
OTP,0,20140128,105557,4300,2000
OTP,0,20140128,105623,4300,600
OTP,0,20140128,105626,4300,1500
OTP,0,20140128,105627,4300,708
OTP,0,20140128,105631,4299,70
OTP,0,20140128,105646,4298,770
OTP,0,20140128,105650,4304,576
OTP,0,20140128,105720,4295,90
OTP,0,20140128,105720,4295,20
OTP,0,20140128,110241,4299,2000
OTP,0,20140128,110340,4299,1498
OTP,0,20140128,110341,4299,1438
OTP,0,20140128,110833,4301,250
OTP,0,20140128,110843,4301,4000
OTP,0,20140128,110938,4301,100
OTP,0,20140128,111018,4301,220
OTP,0,20140128,111042,4300,5000
OTP,0,20140128,111240,4300,1111
OTP,0,20140128,111300,4300,327
OTP,0,20140128,111333,4301,100
OTP,0,20140128,111408,4301,3000
OTP,0,20140128,111418,4301,1498
OTP,0,20140128,111419,4301,710
OTP,0,20140128,111435,4310,36
OTP,0,20140128,111435,4314,414
OTP,0,20140128,111450,4301,340
OTP,0,20140128,111659,4310,45
OTP,0,20140128,111759,4305,1000
OTP,0,20140128,111828,4302,122
OTP,0,20140128,112148,4305,2153
OTP,0,20140128,112148,4305,727
OTP,0,20140128,112559,4310,50
OTP,0,20140128,112611,4310,232
OTP,0,20140128,112958,4310,200
OTP,0,20140128,113013,4310,200
OTP,0,20140128,113115,4307,1000
OTP,0,20140128,113122,4307,1000
OTP,0,20140128,113127,4306,90
OTP,0,20140128,113135,4306,10
OTP,0,20140128,113146,4307,2000
