<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<CLOSE>,<VOLUME>
OTP,0,20140129,090549,4338,1099
OTP,0,20140129,090549,4339,1479
OTP,0,20140129,090552,4335,400
OTP,0,20140129,090552,4330,2678
OTP,0,20140129,090600,4338,500
OTP,0,20140129,090600,4339,263
OTP,0,20140129,090600,4340,347
OTP,0,20140129,090603,4340,1000
OTP,0,20140129,090608,4340,1000
OTP,0,20140129,090610,4330,1845
OTP,0,20140129,090610,4340,43
OTP,0,20140129,090610,4341,100
OTP,0,20140129,090612,4344,678
OTP,0,20140129,090623,4340,192
OTP,0,20140129,090623,4343,300
OTP,0,20140129,090623,4344,351
OTP,0,20140129,090626,4344,971
OTP,0,20140129,090626,4345,69
OTP,0,20140129,090626,4332,300
OTP,0,20140129,090626,4331,2100
OTP,0,20140129,090626,4330,437
OTP,0,20140129,090646,4333,1000
OTP,0,20140129,090722,4335,950
OTP,0,20140129,090723,4336,50
OTP,0,20140129,090723,4340,400
OTP,0,20140129,090734,4342,90
OTP,0,20140129,090734,4343,162
OTP,0,20140129,090804,4343,343
OTP,0,20140129,090804,4344,157
OTP,0,20140129,090806,4344,1000
OTP,0,20140129,090806,4340,50
OTP,0,20140129,090808,4344,393
OTP,0,20140129,090808,4345,3914
OTP,0,20140129,090809,4347,706
OTP,0,20140129,090816,4347,1500
OTP,0,20140129,090819,4347,781
OTP,0,20140129,090820,4347,453
OTP,0,20140129,090820,4348,1047
OTP,0,20140129,090824,4348,1500
OTP,0,20140129,090826,4347,300
OTP,0,20140129,090826,4348,2903
OTP,0,20140129,090826,4349,1797
OTP,0,20140129,090829,4349,403
OTP,0,20140129,090829,4350,1097
OTP,0,20140129,090829,4350,3353
OTP,0,20140129,090831,4352,20
OTP,0,20140129,090831,4354,500
OTP,0,20140129,090833,4355,150
OTP,0,20140129,090834,4350,1650
OTP,0,20140129,090835,4359,517
OTP,0,20140129,090835,4360,155
OTP,0,20140129,090835,4360,11
OTP,0,20140129,090845,4350,2852
OTP,0,20140129,090848,4345,1000
OTP,0,20140129,090853,4345,2000
OTP,0,20140129,090853,4350,7148
OTP,0,20140129,090856,4357,1500
OTP,0,20140129,090857,4350,852
OTP,0,20140129,090858,4360,680
OTP,0,20140129,090908,4355,742
OTP,0,20140129,090909,4355,1500
OTP,0,20140129,090909,4355,758
OTP,0,20140129,090909,4359,742
OTP,0,20140129,090919,4358,1100
OTP,0,20140129,090919,4359,42
OTP,0,20140129,090925,4359,100
OTP,0,20140129,091021,4357,174
OTP,0,20140129,091025,4358,1010
OTP,0,20140129,091028,4359,1287
OTP,0,20140129,091035,4351,200
OTP,0,20140129,091044,4359,924
OTP,0,20140129,091047,4351,1000
OTP,0,20140129,091059,4356,15
OTP,0,20140129,091116,4359,25
OTP,0,20140129,091120,4360,100
OTP,0,20140129,091142,4352,1500
OTP,0,20140129,091143,4356,1251
OTP,0,20140129,091159,4352,150
OTP,0,20140129,091218,4352,178
OTP,0,20140129,091248,4352,1100
OTP,0,20140129,091255,4354,382
OTP,0,20140129,091255,4355,175
OTP,0,20140129,091258,4352,231
OTP,0,20140129,091305,4355,449
OTP,0,20140129,091316,4352,200
OTP,0,20140129,091321,4352,200
OTP,0,20140129,091326,4355,341
OTP,0,20140129,091334,4352,15
OTP,0,20140129,091434,4352,100
OTP,0,20140129,091441,4352,100
OTP,0,20140129,091449,4354,194
OTP,0,20140129,091452,4355,245
OTP,0,20140129,091453,4355,645
OTP,0,20140129,091454,4356,200
OTP,0,20140129,091458,4356,50
OTP,0,20140129,091458,4357,550
OTP,0,20140129,091458,4358,66
OTP,0,20140129,091546,4355,20
OTP,0,20140129,091605,4355,7
OTP,0,20140129,091617,4355,5
OTP,0,20140129,091624,4355,995
OTP,0,20140129,091624,4352,1005
OTP,0,20140129,091630,4358,144
OTP,0,20140129,091630,4359,250
OTP,0,20140129,091630,4360,336
OTP,0,20140129,091647,4360,1533
OTP,0,20140129,091650,4361,86
OTP,0,20140129,091650,4362,20
OTP,0,20140129,091653,4364,110
OTP,0,20140129,091653,4365,554
OTP,0,20140129,091704,4365,678
OTP,0,20140129,091730,4361,25
OTP,0,20140129,091747,4364,110
OTP,0,20140129,091747,4365,3268
OTP,0,20140129,091748,4367,610
OTP,0,20140129,091748,4368,3390
OTP,0,20140129,091749,4368,680
OTP,0,20140129,091750,4361,400
OTP,0,20140129,091750,4368,492
OTP,0,20140129,091801,4368,696
OTP,0,20140129,091807,4367,10
OTP,0,20140129,091812,4367,728
OTP,0,20140129,091823,4367,722
OTP,0,20140129,091829,4367,540
OTP,0,20140129,091832,4367,1000
OTP,0,20140129,091833,4368,195
OTP,0,20140129,091835,4361,10
OTP,0,20140129,091844,4367,500
OTP,0,20140129,091844,4368,247
OTP,0,20140129,091844,4369,58
OTP,0,20140129,091853,4368,20
OTP,0,20140129,091937,4361,125
OTP,0,20140129,091939,4366,100
OTP,0,20140129,091939,4367,12
OTP,0,20140129,091939,4368,190
OTP,0,20140129,092006,4366,100
OTP,0,20140129,092006,4367,200
OTP,0,20140129,092006,4368,100
OTP,0,20140129,092010,4368,786
OTP,0,20140129,092020,4364,28
OTP,0,20140129,092026,4362,1500
OTP,0,20140129,092028,4365,50
OTP,0,20140129,092028,4367,550
OTP,0,20140129,092028,4368,1464
OTP,0,20140129,092028,4369,1909
