<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<CLOSE>,<VOLUME>
OTP,0,20140131,090004,4220,37297
OTP,0,20140131,090242,4220,1000
OTP,0,20140131,090248,4220,1000
OTP,0,20140131,090252,4220,50
OTP,0,20140131,090255,4220,715
OTP,0,20140131,090301,4220,285
OTP,0,20140131,090301,4215,311
OTP,0,20140131,090301,4215,2686
OTP,0,20140131,090327,4224,1
OTP,0,20140131,090334,4220,1000
OTP,0,20140131,090342,4224,100
OTP,0,20140131,090346,4220,66
OTP,0,20140131,090354,4214,63
OTP,0,20140131,090354,4213,237
OTP,0,20140131,090357,4220,4000
OTP,0,20140131,090409,4220,75
OTP,0,20140131,090411,4213,773
OTP,0,20140131,090411,4210,227
OTP,0,20140131,090412,4215,200
OTP,0,20140131,090414,4210,1979
OTP,0,20140131,090414,4210,326
OTP,0,20140131,090415,4205,27
OTP,0,20140131,090415,4205,573
OTP,0,20140131,090416,4200,1979
OTP,0,20140131,090417,4200,7027
OTP,0,20140131,090419,4199,100
OTP,0,20140131,090420,4195,1610
OTP,0,20140131,090421,4219,50
OTP,0,20140131,090422,4194,10
OTP,0,20140131,090422,4191,300
OTP,0,20140131,090423,4200,330
OTP,0,20140131,090423,4200,330
OTP,0,20140131,090424,4200,340
OTP,0,20140131,090426,4190,1744
OTP,0,20140131,090428,4188,30
OTP,0,20140131,090429,4187,150
OTP,0,20140131,090430,4185,86
OTP,0,20140131,090433,4191,200
OTP,0,20140131,090433,4184,20
OTP,0,20140131,090434,4184,80
OTP,0,20140131,090435,4182,100
OTP,0,20140131,090436,4181,22
OTP,0,20140131,090437,4181,11
OTP,0,20140131,090444,4210,488
OTP,0,20140131,090506,4200,1000
OTP,0,20140131,090507,4200,1823
OTP,0,20140131,090516,4200,1000
OTP,0,20140131,090522,4200,1000
OTP,0,20140131,090535,4200,40
OTP,0,20140131,090538,4200,1000
OTP,0,20140131,090540,4200,1000
OTP,0,20140131,090541,4200,1000
OTP,0,20140131,090541,4200,960
OTP,0,20140131,090543,4200,40
OTP,0,20140131,090548,4199,10
OTP,0,20140131,090550,4200,20
OTP,0,20140131,090558,4200,60
OTP,0,20140131,090622,4204,100
OTP,0,20140131,090643,4209,51
OTP,0,20140131,090644,4210,50
OTP,0,20140131,090644,4210,592
OTP,0,20140131,090714,4214,706
OTP,0,20140131,090720,4215,3000
OTP,0,20140131,090723,4215,1698
OTP,0,20140131,090743,4217,40
OTP,0,20140131,090743,4218,100
OTP,0,20140131,090743,4219,400
OTP,0,20140131,090743,4220,1225
OTP,0,20140131,090743,4222,116
OTP,0,20140131,090759,4216,24
OTP,0,20140131,090759,4214,169
OTP,0,20140131,090812,4214,40
OTP,0,20140131,090820,4214,500
OTP,0,20140131,090823,4214,1078
OTP,0,20140131,090838,4211,2822
OTP,0,20140131,090841,4211,189
OTP,0,20140131,090846,4210,413
OTP,0,20140131,090858,4211,500
OTP,0,20140131,090902,4211,341
OTP,0,20140131,090903,4214,50
OTP,0,20140131,090944,4209,276
OTP,0,20140131,091004,4203,5
OTP,0,20140131,091007,4203,1095
OTP,0,20140131,091007,4202,905
OTP,0,20140131,091009,4202,30
