<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<CLOSE>,<VOLUME>
OTP,0,20140120,090331,4386,2884
OTP,0,20140120,090532,4386,170
OTP,0,20140120,090532,4386,802
OTP,0,20140120,090532,4382,200
OTP,0,20140120,090532,4381,100
OTP,0,20140120,090532,4380,1078
OTP,0,20140120,090532,4380,110
OTP,0,20140120,090532,4380,928
OTP,0,20140120,090532,4376,100
OTP,0,20140120,090532,4375,972
OTP,0,20140120,090532,4375,500
OTP,0,20140120,090532,4375,31
OTP,0,20140120,090532,4375,393
OTP,0,20140120,090536,4371,96
OTP,0,20140120,090536,4370,37
OTP,0,20140120,090536,4370,25
OTP,0,20140120,090537,4370,499
OTP,0,20140120,090540,4370,305
OTP,0,20140120,090633,4371,200
OTP,0,20140120,090637,4370,620
OTP,0,20140120,090652,4375,87
OTP,0,20140120,090652,4377,513
OTP,0,20140120,090713,4377,100
OTP,0,20140120,090838,4377,208
OTP,0,20140120,090845,4378,200
OTP,0,20140120,090855,4380,50
OTP,0,20140120,090857,4378,50
OTP,0,20140120,090857,4377,370
OTP,0,20140120,090956,4377,1422
OTP,0,20140120,090956,4375,250
OTP,0,20140120,090956,4371,200
OTP,0,20140120,090956,4370,128
OTP,0,20140120,091009,4380,200
OTP,0,20140120,091030,4371,100
OTP,0,20140120,091030,4370,2900
OTP,0,20140120,091036,4370,691
OTP,0,20140120,091038,4380,20
OTP,0,20140120,091046,4380,20
OTP,0,20140120,091148,4380,30
OTP,0,20140120,091218,4380,1000
OTP,0,20140120,091418,4380,500
OTP,0,20140120,091500,4380,1000
OTP,0,20140120,091508,4380,15
OTP,0,20140120,091517,4380,20
OTP,0,20140120,091747,4385,219
OTP,0,20140120,091803,4388,31
OTP,0,20140120,091807,4388,169
OTP,0,20140120,091807,4390,1114
OTP,0,20140120,091827,4390,280
OTP,0,20140120,091831,4394,200
OTP,0,20140120,091855,4386,1
OTP,0,20140120,091905,4394,38
OTP,0,20140120,092001,4387,1
OTP,0,20140120,092002,4394,162
OTP,0,20140120,092002,4395,400
OTP,0,20140120,092002,4398,450
OTP,0,20140120,092002,4399,1228
OTP,0,20140120,092034,4399,372
OTP,0,20140120,092035,4400,1655
OTP,0,20140120,092039,4409,275
OTP,0,20140120,092055,4390,1
OTP,0,20140120,092140,4390,19
OTP,0,20140120,092140,4388,31
OTP,0,20140120,092211,4390,100
OTP,0,20140120,092211,4388,169
OTP,0,20140120,092211,4387,139
OTP,0,20140120,092211,4386,499
OTP,0,20140120,092211,4385,400
OTP,0,20140120,092211,4384,220
OTP,0,20140120,092211,4382,100
OTP,0,20140120,092211,4381,800
OTP,0,20140120,092212,4400,700
OTP,0,20140120,092218,4398,100
OTP,0,20140120,092229,4400,389
OTP,0,20140120,092416,4399,1000
OTP,0,20140120,092417,4400,681
OTP,0,20140120,092420,4400,193
OTP,0,20140120,092425,4408,100
OTP,0,20140120,092429,4400,144
OTP,0,20140120,092433,4409,125
OTP,0,20140120,092456,4391,1
OTP,0,20140120,092503,4391,99
OTP,0,20140120,092503,4390,217
OTP,0,20140120,092944,4393,1000
OTP,0,20140120,092959,4393,565
OTP,0,20140120,093016,4392,200
OTP,0,20140120,093016,4391,405
OTP,0,20140120,093016,4390,783
OTP,0,20140120,093429,4390,112
OTP,0,20140120,093429,4393,38
OTP,0,20140120,093707,4389,45
OTP,0,20140120,093707,4390,55
OTP,0,20140120,093803,4385,600
OTP,0,20140120,093807,4385,400
OTP,0,20140120,093916,4383,150
OTP,0,20140120,093916,4382,10
OTP,0,20140120,093916,4381,4
OTP,0,20140120,093916,4380,36
OTP,0,20140120,093918,4380,1052
OTP,0,20140120,093925,4380,748
OTP,0,20140120,093941,4380,100
OTP,0,20140120,094004,4384,12
OTP,0,20140120,094005,4381,200
OTP,0,20140120,094005,4380,2120
OTP,0,20140120,094012,4379,100
OTP,0,20140120,094012,4378,1500
OTP,0,20140120,094016,4380,680
OTP,0,20140120,094020,4384,88
OTP,0,20140120,094258,4384,150
OTP,0,20140120,094258,4385,2650
OTP,0,20140120,094311,4385,21
OTP,0,20140120,094323,4385,60
OTP,0,20140120,094644,4385,347
OTP,0,20140120,094730,4385,8
OTP,0,20140120,095000,4381,10
OTP,0,20140120,095324,4385,514
OTP,0,20140120,095504,4384,500
OTP,0,20140120,095849,4386,26
OTP,0,20140120,095849,4385,174
OTP,0,20140120,095910,4385,106
OTP,0,20140120,095910,4384,69
OTP,0,20140120,095917,4384,100
OTP,0,20140120,095926,4384,20
OTP,0,20140120,095929,4384,23
OTP,0,20140120,100201,4384,100
OTP,0,20140120,100309,4384,100
OTP,0,20140120,100356,4384,100
OTP,0,20140120,100451,4385,75
OTP,0,20140120,100457,4385,30
OTP,0,20140120,100620,4384,100
OTP,0,20140120,100620,4384,339
OTP,0,20140120,100620,4382,400
OTP,0,20140120,100620,4381,25
OTP,0,20140120,100620,4380,66
OTP,0,20140120,100636,4380,300
OTP,0,20140120,100637,4381,20
OTP,0,20140120,100637,4380,1980
OTP,0,20140120,100646,4380,645
OTP,0,20140120,100646,4377,485
OTP,0,20140120,100657,4380,50
OTP,0,20140120,100729,4380,398
OTP,0,20140120,101029,4381,107
OTP,0,20140120,101029,4380,155
OTP,0,20140120,101135,4377,450
OTP,0,20140120,101231,4380,86
OTP,0,20140120,101336,4377,130
OTP,0,20140120,101336,4376,1004
OTP,0,20140120,101336,4375,1385
OTP,0,20140120,101429,4375,150
OTP,0,20140120,101542,4375,31
OTP,0,20140120,101542,4378,200
OTP,0,20140120,101542,4379,769
OTP,0,20140120,101551,4379,300
OTP,0,20140120,101740,4379,1731
OTP,0,20140120,101740,4380,3852
OTP,0,20140120,101746,4380,1250
OTP,0,20140120,102122,4380,300
OTP,0,20140120,102216,4380,2064
OTP,0,20140120,102217,4380,281
OTP,0,20140120,102328,4380,235
OTP,0,20140120,102532,4385,200
OTP,0,20140120,102532,4381,600
OTP,0,20140120,102532,4380,400
OTP,0,20140120,102910,4380,812
OTP,0,20140120,102937,4380,1000
OTP,0,20140120,102945,4380,27
OTP,0,20140120,103034,4380,1000
OTP,0,20140120,103312,4385,200
OTP,0,20140120,103432,4381,7
OTP,0,20140120,103448,4381,43
OTP,0,20140120,103448,4380,1674
OTP,0,20140120,103555,4380,250
OTP,0,20140120,103841,4380,70
OTP,0,20140120,103909,4380,800
OTP,0,20140120,104209,4385,500
OTP,0,20140120,104209,4386,100
OTP,0,20140120,104527,4383,50
OTP,0,20140120,104548,4383,50
OTP,0,20140120,105232,4386,900
OTP,0,20140120,105234,4386,632
OTP,0,20140120,105244,4386,468
OTP,0,20140120,105410,4385,50
OTP,0,20140120,105652,4383,28
OTP,0,20140120,105652,4381,50
OTP,0,20140120,105652,4380,117
OTP,0,20140120,105729,4385,27
OTP,0,20140120,105733,4387,514
OTP,0,20140120,105737,4388,2059
OTP,0,20140120,105759,4385,100
OTP,0,20140120,105803,4388,1288
OTP,0,20140120,105834,4381,13
OTP,0,20140120,105852,4388,136
OTP,0,20140120,105852,4389,512
OTP,0,20140120,105852,4390,2274
OTP,0,20140120,105852,4395,300
OTP,0,20140120,105852,4397,500
OTP,0,20140120,105852,4398,500
OTP,0,20140120,105852,4399,900
OTP,0,20140120,105852,4400,7162
OTP,0,20140120,105853,4400,1104
OTP,0,20140120,105853,4400,716
OTP,0,20140120,105853,4390,100
OTP,0,20140120,105853,4381,2332
OTP,0,20140120,105912,4400,1464
OTP,0,20140120,110102,4400,10
OTP,0,20140120,110115,4401,77
OTP,0,20140120,110121,4400,1000
OTP,0,20140120,110132,4400,700
OTP,0,20140120,110200,4400,400
OTP,0,20140120,110211,4400,675
OTP,0,20140120,110431,4390,857
OTP,0,20140120,110556,4399,1229
OTP,0,20140120,110556,4400,271
OTP,0,20140120,110557,4399,485
OTP,0,20140120,110557,4400,1015
OTP,0,20140120,110557,4400,1500
OTP,0,20140120,110558,4400,96
OTP,0,20140120,110608,4405,437
OTP,0,20140120,110726,4401,720
OTP,0,20140120,110726,4407,200
OTP,0,20140120,110730,4401,585
OTP,0,20140120,110730,4401,155
OTP,0,20140120,110732,4401,250
OTP,0,20140120,111230,4400,215
OTP,0,20140120,111500,4401,57
OTP,0,20140120,111936,4401,1186
OTP,0,20140120,111936,4401,1662
OTP,0,20140120,111937,4407,100
OTP,0,20140120,111938,4408,250
OTP,0,20140120,111939,4410,1808
OTP,0,20140120,111939,4410,1131
OTP,0,20140120,111956,4410,67
OTP,0,20140120,111956,4413,33
OTP,0,20140120,111957,4400,1653
OTP,0,20140120,112110,4401,400
OTP,0,20140120,112110,4413,8
OTP,0,20140120,112111,4413,6
OTP,0,20140120,112112,4414,1000
OTP,0,20140120,112113,4415,1056
OTP,0,20140120,112113,4415,3500
OTP,0,20140120,112113,4415,623
OTP,0,20140120,112128,4417,500
OTP,0,20140120,112129,4418,500
OTP,0,20140120,112353,4415,65
OTP,0,20140120,112443,4415,1235
OTP,0,20140120,112605,4414,1000
OTP,0,20140120,112628,4406,120
OTP,0,20140120,112706,4407,30
OTP,0,20140120,112757,4414,200
OTP,0,20140120,112757,4415,22
OTP,0,20140120,113242,4410,100
OTP,0,20140120,113459,4410,1500
OTP,0,20140120,113658,4410,500
OTP,0,20140120,113659,4414,1974
OTP,0,20140120,113701,4415,500
OTP,0,20140120,113701,4415,500
OTP,0,20140120,113704,4413,500
OTP,0,20140120,113705,4413,100
OTP,0,20140120,113827,4415,278
OTP,0,20140120,113912,4415,100
OTP,0,20140120,113931,4419,500
OTP,0,20140120,113932,4419,500
OTP,0,20140120,113943,4419,1454
OTP,0,20140120,114146,4419,976
OTP,0,20140120,114147,4420,2362
OTP,0,20140120,114149,4420,443
OTP,0,20140120,114206,4420,200
OTP,0,20140120,114224,4420,500
OTP,0,20140120,114227,4420,300
OTP,0,20140120,114416,4420,500
OTP,0,20140120,114420,4420,500
OTP,0,20140120,114535,4422,50
OTP,0,20140120,114621,4420,500
OTP,0,20140120,114638,4420,100
OTP,0,20140120,114722,4420,822
OTP,0,20140120,114739,4419,500
OTP,0,20140120,114743,4419,500
OTP,0,20140120,114752,4420,178
OTP,0,20140120,114831,4420,322
OTP,0,20140120,114831,4420,78
OTP,0,20140120,114831,4422,50
OTP,0,20140120,114910,4419,1500
OTP,0,20140120,114911,4420,70
OTP,0,20140120,114913,4419,504
OTP,0,20140120,114923,4420,460
OTP,0,20140120,114923,4420,320
OTP,0,20140120,114926,4420,220
OTP,0,20140120,114934,4420,280
OTP,0,20140120,114934,4415,20
OTP,0,20140120,115241,4419,15
OTP,0,20140120,115555,4416,100
OTP,0,20140120,115555,4415,400
OTP,0,20140120,120717,4415,10
OTP,0,20140120,120811,4412,500
OTP,0,20140120,120811,4411,1314
OTP,0,20140120,120811,4410,500
OTP,0,20140120,120816,4409,500
OTP,0,20140120,120832,4408,400
OTP,0,20140120,121030,4408,500
OTP,0,20140120,121032,4408,3214
OTP,0,20140120,121036,4408,286
OTP,0,20140120,121050,4408,1000
OTP,0,20140120,121111,4408,1000
OTP,0,20140120,121206,4408,500
OTP,0,20140120,121255,4408,1000
OTP,0,20140120,121401,4408,335
OTP,0,20140120,121420,4408,485
OTP,0,20140120,121452,4408,36
OTP,0,20140120,121501,4407,16
OTP,0,20140120,121501,4406,448
OTP,0,20140120,122400,4413,22
OTP,0,20140120,122936,4406,4
OTP,0,20140120,123548,4413,138
OTP,0,20140120,123548,4414,410
OTP,0,20140120,123818,4407,15
OTP,0,20140120,124459,4410,2200
OTP,0,20140120,124622,4407,80
OTP,0,20140120,124622,4404,20
OTP,0,20140120,125045,4404,30
OTP,0,20140120,125045,4403,30
OTP,0,20140120,125720,4403,470
OTP,0,20140120,125720,4402,30
OTP,0,20140120,130154,4409,1500
OTP,0,20140120,130256,4410,300
OTP,0,20140120,130426,4410,1000
OTP,0,20140120,131012,4406,584
OTP,0,20140120,131208,4405,100
OTP,0,20140120,131208,4403,70
OTP,0,20140120,131244,4403,1617
OTP,0,20140120,131244,4403,383
OTP,0,20140120,131253,4403,750
OTP,0,20140120,131259,4403,100
OTP,0,20140120,131328,4403,621
OTP,0,20140120,131328,4402,379
OTP,0,20140120,131404,4402,1207
OTP,0,20140120,131404,4401,1714
OTP,0,20140120,131404,4400,4332
OTP,0,20140120,131455,4397,10
OTP,0,20140120,131634,4395,10
OTP,0,20140120,131738,4395,145
OTP,0,20140120,131852,4395,55
OTP,0,20140120,131852,4397,445
OTP,0,20140120,131852,4397,500
OTP,0,20140120,131852,4397,500
OTP,0,20140120,131852,4397,500
OTP,0,20140120,131853,4397,500
OTP,0,20140120,131854,4397,500
OTP,0,20140120,131854,4397,500
OTP,0,20140120,132105,4395,14
OTP,0,20140120,132117,4391,79
OTP,0,20140120,132159,4395,186
OTP,0,20140120,132159,4397,314
OTP,0,20140120,132159,4397,500
OTP,0,20140120,132200,4397,500
OTP,0,20140120,132200,4397,41
OTP,0,20140120,132200,4400,459
OTP,0,20140120,132230,4400,288
OTP,0,20140120,132230,4402,100
OTP,0,20140120,132230,4404,33
OTP,0,20140120,132249,4403,1500
OTP,0,20140120,132249,4403,1500
OTP,0,20140120,132411,4402,967
OTP,0,20140120,132606,4400,100
OTP,0,20140120,132621,4402,5
OTP,0,20140120,132639,4400,50
OTP,0,20140120,132835,4400,350
OTP,0,20140120,132849,4400,650
OTP,0,20140120,132849,4402,355
OTP,0,20140120,132849,4403,1500
OTP,0,20140120,132849,4406,2416
OTP,0,20140120,132941,4406,79
OTP,0,20140120,133235,4405,2026
