<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<CLOSE>,<VOLUME>
OTP,0,20140127,090005,4349,36523
OTP,0,20140127,090210,4349,291
OTP,0,20140127,090223,4343,491
OTP,0,20140127,090229,4340,100
OTP,0,20140127,090230,4343,25
OTP,0,20140127,090234,4340,100
OTP,0,20140127,090234,4340,133
OTP,0,20140127,090236,4340,50
OTP,0,20140127,090238,4340,20
OTP,0,20140127,090239,4338,40
OTP,0,20140127,090239,4340,20
OTP,0,20140127,090240,4336,1
OTP,0,20140127,090240,4340,50
OTP,0,20140127,090244,4336,2
OTP,0,20140127,090244,4335,25
OTP,0,20140127,090245,4333,70
OTP,0,20140127,090249,4333,150
OTP,0,20140127,090253,4333,95
OTP,0,20140127,090259,4332,200
OTP,0,20140127,090259,4331,157
OTP,0,20140127,090300,4331,230
OTP,0,20140127,090300,4331,43
OTP,0,20140127,090300,4331,70
OTP,0,20140127,090301,4330,52
OTP,0,20140127,090301,4330,30
OTP,0,20140127,090301,4330,200
OTP,0,20140127,090301,4330,52
OTP,0,20140127,090302,4330,44
OTP,0,20140127,090302,4330,222
OTP,0,20140127,090303,4326,1
OTP,0,20140127,090303,4326,50
OTP,0,20140127,090305,4329,100
OTP,0,20140127,090313,4326,349
OTP,0,20140127,090313,4325,651
OTP,0,20140127,090313,4325,133
OTP,0,20140127,090313,4330,2228
OTP,0,20140127,090313,4333,2772
OTP,0,20140127,090313,4325,266
OTP,0,20140127,090314,4323,84
OTP,0,20140127,090318,4321,300
OTP,0,20140127,090319,4320,715
OTP,0,20140127,090331,4319,50
OTP,0,20140127,090331,4318,31
OTP,0,20140127,090331,4316,822
OTP,0,20140127,090334,4315,25
OTP,0,20140127,090334,4315,558
OTP,0,20140127,090334,4314,86
OTP,0,20140127,090334,4313,267
OTP,0,20140127,090334,4312,154
OTP,0,20140127,090334,4312,696
OTP,0,20140127,090335,4311,633
OTP,0,20140127,090336,4310,710
OTP,0,20140127,090340,4315,300
OTP,0,20140127,090342,4310,50
OTP,0,20140127,090343,4310,150
OTP,0,20140127,090344,4310,50
OTP,0,20140127,090344,4308,540
OTP,0,20140127,090344,4307,71
OTP,0,20140127,090344,4306,800
OTP,0,20140127,090344,4305,719
OTP,0,20140127,090344,4305,30
OTP,0,20140127,090344,4305,300
OTP,0,20140127,090345,4307,1000
OTP,0,20140127,090345,4306,250
OTP,0,20140127,090345,4305,150
OTP,0,20140127,090346,4305,1043
OTP,0,20140127,090347,4305,1888
OTP,0,20140127,090347,4310,1000
OTP,0,20140127,090347,4310,1000
OTP,0,20140127,090347,4303,29
OTP,0,20140127,090347,4302,971
OTP,0,20140127,090348,4302,481
OTP,0,20140127,090349,4301,350
OTP,0,20140127,090349,4301,1336
OTP,0,20140127,090349,4301,459
OTP,0,20140127,090349,4301,722
OTP,0,20140127,090350,4301,460
OTP,0,20140127,090351,4300,852
OTP,0,20140127,090353,4303,500
OTP,0,20140127,090353,4300,500
OTP,0,20140127,090354,4300,396
OTP,0,20140127,090356,4308,90
OTP,0,20140127,090356,4308,10
OTP,0,20140127,090356,4300,58
OTP,0,20140127,090400,4305,25
OTP,0,20140127,090400,4301,373
OTP,0,20140127,090403,4303,400
OTP,0,20140127,090405,4302,90
OTP,0,20140127,090405,4301,910
OTP,0,20140127,090406,4301,3390
OTP,0,20140127,090406,4300,6610
OTP,0,20140127,090406,4301,84
OTP,0,20140127,090408,4302,50
OTP,0,20140127,090408,4300,2233
OTP,0,20140127,090408,4300,50
OTP,0,20140127,090409,4300,2563
OTP,0,20140127,090409,4300,150
OTP,0,20140127,090414,4303,20
OTP,0,20140127,090414,4301,485
OTP,0,20140127,090414,4300,560
OTP,0,20140127,090415,4304,43
OTP,0,20140127,090418,4300,500
