<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<CLOSE>,<VOLUME>
OTP,0,20140130,090004,4180,6223
OTP,0,20140130,090205,4190,160
OTP,0,20140130,090205,4199,18
OTP,0,20140130,090205,4200,600
OTP,0,20140130,090206,4203,19
OTP,0,20140130,090206,4200,242
OTP,0,20140130,090206,4200,170
OTP,0,20140130,090206,4190,103
OTP,0,20140130,090206,4200,261
OTP,0,20140130,090206,4200,417
OTP,0,20140130,090209,4212,389
OTP,0,20140130,090226,4200,103
OTP,0,20140130,090226,4198,97
OTP,0,20140130,090239,4214,50
OTP,0,20140130,090255,4210,200
OTP,0,20140130,090301,4213,269
OTP,0,20140130,090301,4213,10
OTP,0,20140130,090301,4210,30
OTP,0,20140130,090302,4213,598
OTP,0,20140130,090305,4210,59
OTP,0,20140130,090314,4213,150
OTP,0,20140130,090323,4210,61
OTP,0,20140130,090323,4201,139
OTP,0,20140130,090350,4210,100
OTP,0,20140130,090352,4210,70
OTP,0,20140130,090453,4205,25
OTP,0,20140130,090454,4205,46
OTP,0,20140130,090507,4201,491
OTP,0,20140130,090507,4200,1509
OTP,0,20140130,090511,4200,1253
OTP,0,20140130,090511,4204,800
OTP,0,20140130,090512,4205,19
OTP,0,20140130,090513,4208,20
OTP,0,20140130,090514,4208,80
OTP,0,20140130,090514,4209,440
OTP,0,20140130,090514,4210,172
OTP,0,20140130,090518,4207,50
OTP,0,20140130,090525,4210,588
OTP,0,20140130,090527,4201,1000
OTP,0,20140130,090527,4201,514
OTP,0,20140130,090528,4201,188
OTP,0,20140130,090528,4201,252
OTP,0,20140130,090529,4214,270
OTP,0,20140130,090538,4210,300
OTP,0,20140130,090553,4208,200
OTP,0,20140130,090553,4209,773
OTP,0,20140130,090618,4205,769
OTP,0,20140130,090630,4193,1
OTP,0,20140130,090654,4200,200
OTP,0,20140130,090723,4199,24
OTP,0,20140130,090723,4200,676
OTP,0,20140130,090751,4199,10
OTP,0,20140130,090751,4200,390
OTP,0,20140130,090753,4193,50
OTP,0,20140130,090809,4193,2392
OTP,0,20140130,090809,4194,525
OTP,0,20140130,090809,4195,500
OTP,0,20140130,090810,4193,459
OTP,0,20140130,090816,4190,804
OTP,0,20140130,090837,4190,100
OTP,0,20140130,090856,4194,115
OTP,0,20140130,090924,4190,50
OTP,0,20140130,090935,4189,300
OTP,0,20140130,090935,4188,583
OTP,0,20140130,090939,4188,117
OTP,0,20140130,090939,4190,215
OTP,0,20140130,090939,4193,30
OTP,0,20140130,090939,4194,138
OTP,0,20140130,090943,4190,427
OTP,0,20140130,090948,4189,550
OTP,0,20140130,091001,4190,601
OTP,0,20140130,091002,4188,340
OTP,0,20140130,091033,4186,299
OTP,0,20140130,091039,4182,346
OTP,0,20140130,091039,4181,432
OTP,0,20140130,091039,4180,3578
OTP,0,20140130,091040,4175,2787
OTP,0,20140130,091040,4175,30
OTP,0,20140130,091040,4180,100
OTP,0,20140130,091041,4185,222
OTP,0,20140130,091042,4186,366
OTP,0,20140130,091050,4188,3000
OTP,0,20140130,091052,4175,100
OTP,0,20140130,091054,4188,100
OTP,0,20140130,091115,4188,180
OTP,0,20140130,091115,4188,333
OTP,0,20140130,091153,4187,300
OTP,0,20140130,091215,4187,300
OTP,0,20140130,091219,4188,641
OTP,0,20140130,091240,4189,40
OTP,0,20140130,091240,4190,80
OTP,0,20140130,091242,4190,261
OTP,0,20140130,091247,4187,20200
OTP,0,20140130,091247,4190,1390
OTP,0,20140130,091247,4190,295
OTP,0,20140130,091247,4190,320
OTP,0,20140130,091247,4185,50
OTP,0,20140130,091251,4185,10
OTP,0,20140130,091252,4183,300
OTP,0,20140130,091308,4190,25
OTP,0,20140130,091308,4185,120
OTP,0,20140130,091433,4188,181
OTP,0,20140130,091433,4188,619
OTP,0,20140130,091433,4185,50
OTP,0,20140130,091434,4182,170
OTP,0,20140130,091434,4181,825
OTP,0,20140130,091435,4180,1898
OTP,0,20140130,091436,4175,83
OTP,0,20140130,091437,4172,600
OTP,0,20140130,091437,4171,600
OTP,0,20140130,091446,4175,770
OTP,0,20140130,091450,4185,1000
OTP,0,20140130,091455,4172,50
OTP,0,20140130,091501,4185,82
OTP,0,20140130,091516,4180,75
OTP,0,20140130,091517,4180,45
OTP,0,20140130,091517,4185,26
OTP,0,20140130,091533,4171,30
OTP,0,20140130,091543,4171,770
OTP,0,20140130,091543,4170,2425
OTP,0,20140130,091543,4165,33
OTP,0,20140130,091544,4165,1567
OTP,0,20140130,091624,4170,15
OTP,0,20140130,091637,4170,30
OTP,0,20140130,091639,4162,50
OTP,0,20140130,091646,4162,250
OTP,0,20140130,091655,4169,320
OTP,0,20140130,091701,4169,295
OTP,0,20140130,091709,4169,500
OTP,0,20140130,091713,4169,30
OTP,0,20140130,091714,4161,100
OTP,0,20140130,091716,4169,50
OTP,0,20140130,091726,4169,336
OTP,0,20140130,091726,4170,464
OTP,0,20140130,091738,4165,50
OTP,0,20140130,091747,4170,86
OTP,0,20140130,091829,4169,25
OTP,0,20140130,091829,4170,175
OTP,0,20140130,091835,4169,239
OTP,0,20140130,091835,4169,50
OTP,0,20140130,091844,4169,10
OTP,0,20140130,091921,4167,440
OTP,0,20140130,091948,4169,1
OTP,0,20140130,092004,4169,240
OTP,0,20140130,092004,4170,265
OTP,0,20140130,092045,4169,100
OTP,0,20140130,092047,4168,240
