<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<CLOSE>,<VOLUME>
OTP,0,20140123,090004,4570,1934
OTP,0,20140123,090219,4560,1000
OTP,0,20140123,090220,4568,144
OTP,0,20140123,090246,4567,54
OTP,0,20140123,090246,4568,169
OTP,0,20140123,090248,4567,10
OTP,0,20140123,090248,4568,62
OTP,0,20140123,090258,4568,1000
OTP,0,20140123,090259,4568,193
OTP,0,20140123,090301,4568,20
OTP,0,20140123,090303,4568,30
OTP,0,20140123,090309,4556,57
OTP,0,20140123,090309,4555,43
OTP,0,20140123,090324,4560,144
OTP,0,20140123,090333,4556,144
OTP,0,20140123,090335,4556,240
OTP,0,20140123,090335,4555,190
OTP,0,20140123,090356,4560,50
OTP,0,20140123,090408,4560,10
OTP,0,20140123,090420,4555,50
OTP,0,20140123,090421,4560,100
OTP,0,20140123,090553,4555,50
OTP,0,20140123,090615,4559,2000
OTP,0,20140123,090643,4560,120
OTP,0,20140123,090652,4560,1756
OTP,0,20140123,090729,4567,10
OTP,0,20140123,090730,4567,2
OTP,0,20140123,090730,4568,18
OTP,0,20140123,090801,4568,182
OTP,0,20140123,090801,4569,600
OTP,0,20140123,090801,4570,2000
OTP,0,20140123,090806,4570,30
OTP,0,20140123,090808,4570,570
OTP,0,20140123,090823,4570,150
OTP,0,20140123,090823,4562,120
OTP,0,20140123,090823,4561,234
OTP,0,20140123,090900,4562,484
OTP,0,20140123,090933,4562,200
OTP,0,20140123,090944,4562,277
OTP,0,20140123,090948,4561,253
OTP,0,20140123,091055,4562,200
OTP,0,20140123,091055,4561,271
OTP,0,20140123,091112,4565,12
OTP,0,20140123,091112,4562,200
OTP,0,20140123,091138,4562,300
OTP,0,20140123,091146,4561,30
OTP,0,20140123,091148,4562,700
OTP,0,20140123,091316,4562,40
OTP,0,20140123,091316,4561,360
OTP,0,20140123,091319,4565,100
OTP,0,20140123,091347,4565,790
OTP,0,20140123,091444,4565,2384
OTP,0,20140123,091513,4565,205
OTP,0,20140123,091637,4565,355
OTP,0,20140123,091645,4565,45
OTP,0,20140123,091807,4565,50
OTP,0,20140123,091807,4563,179
OTP,0,20140123,091939,4563,11
OTP,0,20140123,091939,4562,615
OTP,0,20140123,091939,4561,374
OTP,0,20140123,091959,4562,280
OTP,0,20140123,092016,4563,55
OTP,0,20140123,092016,4562,105
OTP,0,20140123,092027,4562,115
OTP,0,20140123,092027,4561,135
OTP,0,20140123,092048,4561,100
OTP,0,20140123,092117,4561,200
OTP,0,20140123,092133,4563,300
OTP,0,20140123,092415,4570,26
OTP,0,20140123,092656,4570,256
OTP,0,20140123,092701,4570,250
OTP,0,20140123,092720,4570,400
OTP,0,20140123,092735,4570,344
OTP,0,20140123,092750,4570,100
OTP,0,20140123,092839,4570,19
OTP,0,20140123,093019,4565,350
OTP,0,20140123,093019,4564,50
OTP,0,20140123,093127,4570,160
OTP,0,20140123,093128,4570,350
OTP,0,20140123,093131,4570,190
OTP,0,20140123,093131,4570,190
OTP,0,20140123,093133,4570,200
OTP,0,20140123,093135,4570,310
OTP,0,20140123,093135,4570,1
OTP,0,20140123,093135,4570,310
OTP,0,20140123,093140,4570,39
OTP,0,20140123,093142,4570,30
OTP,0,20140123,093148,4570,70
OTP,0,20140123,093149,4570,320
OTP,0,20140123,093150,4570,211
OTP,0,20140123,093154,4570,69
OTP,0,20140123,093208,4570,350
OTP,0,20140123,093215,4570,400
OTP,0,20140123,093219,4570,350
OTP,0,20140123,093222,4570,350
OTP,0,20140123,093222,4570,350
OTP,0,20140123,093226,4570,350
OTP,0,20140123,093232,4570,306
OTP,0,20140123,093234,4570,150
OTP,0,20140123,093235,4570,1850
OTP,0,20140123,093244,4572,50
OTP,0,20140123,093250,4570,1
OTP,0,20140123,093253,4573,50
OTP,0,20140123,093256,4570,649
OTP,0,20140123,093258,4570,500
OTP,0,20140123,093259,4570,100
OTP,0,20140123,093302,4570,200
OTP,0,20140123,093306,4570,551
OTP,0,20140123,093338,4570,1196
OTP,0,20140123,093426,4566,260
OTP,0,20140123,093450,4570,600
OTP,0,20140123,093453,4570,304
OTP,0,20140123,093609,4570,11
OTP,0,20140123,093854,4570,679
OTP,0,20140123,093907,4570,3521
OTP,0,20140123,093918,4568,123
OTP,0,20140123,094040,4570,265
OTP,0,20140123,094137,4570,1400
OTP,0,20140123,094145,4570,160
OTP,0,20140123,094147,4570,840
OTP,0,20140123,094147,4568,30
OTP,0,20140123,094151,4568,192
OTP,0,20140123,094155,4568,1000
OTP,0,20140123,094216,4568,2000
OTP,0,20140123,094225,4568,50
OTP,0,20140123,094247,4568,888
OTP,0,20140123,094248,4568,3000
OTP,0,20140123,094256,4568,500
OTP,0,20140123,094411,4568,500
OTP,0,20140123,094436,4567,100
OTP,0,20140123,094514,4568,31
OTP,0,20140123,094558,4567,100
OTP,0,20140123,094558,4566,30
OTP,0,20140123,094616,4567,100
OTP,0,20140123,094737,4566,1500
OTP,0,20140123,094759,4566,70
OTP,0,20140123,094759,4565,325
OTP,0,20140123,094800,4565,1
OTP,0,20140123,094803,4565,100
OTP,0,20140123,094810,4565,74
OTP,0,20140123,094845,4567,50
OTP,0,20140123,094845,4568,1450
OTP,0,20140123,094950,4565,100
OTP,0,20140123,094953,4565,183
OTP,0,20140123,095016,4565,15
OTP,0,20140123,095026,4565,52
OTP,0,20140123,095028,4565,30
OTP,0,20140123,095037,4565,550
OTP,0,20140123,095202,4565,200
OTP,0,20140123,095203,4565,18
OTP,0,20140123,095209,4564,840
OTP,0,20140123,095213,4564,70
OTP,0,20140123,095216,4563,112
OTP,0,20140123,095222,4564,500
OTP,0,20140123,095225,4562,400
OTP,0,20140123,095236,4564,160
OTP,0,20140123,095237,4561,300
OTP,0,20140123,095306,4561,55
OTP,0,20140123,095306,4560,415
OTP,0,20140123,095405,4560,187
OTP,0,20140123,095410,4561,2
OTP,0,20140123,095417,4557,100
OTP,0,20140123,095417,4556,265
OTP,0,20140123,095417,4555,235
OTP,0,20140123,095426,4555,500
OTP,0,20140123,095550,4555,70
OTP,0,20140123,095645,4560,50
OTP,0,20140123,095748,4560,250
OTP,0,20140123,095755,4560,100
OTP,0,20140123,095815,4561,291
OTP,0,20140123,095823,4561,1090
OTP,0,20140123,095823,4560,2400
OTP,0,20140123,095835,4560,1510
OTP,0,20140123,095851,4560,1000
OTP,0,20140123,100033,4561,407
OTP,0,20140123,100151,4563,110
OTP,0,20140123,100152,4561,30
OTP,0,20140123,100255,4561,100
OTP,0,20140123,100343,4563,190
OTP,0,20140123,100347,4565,1592
OTP,0,20140123,100351,4566,674
OTP,0,20140123,100444,4565,269
OTP,0,20140123,100444,4566,4326
OTP,0,20140123,100612,4566,50
OTP,0,20140123,100620,4566,50
OTP,0,20140123,100703,4567,35
OTP,0,20140123,100707,4567,250
OTP,0,20140123,100754,4567,100
OTP,0,20140123,101104,4565,600
OTP,0,20140123,101114,4565,380
OTP,0,20140123,101116,4565,380
OTP,0,20140123,101119,4565,1240
OTP,0,20140123,101126,4565,700
OTP,0,20140123,101131,4565,60
OTP,0,20140123,101134,4565,978
OTP,0,20140123,101136,4565,978
OTP,0,20140123,101138,4565,44
OTP,0,20140123,101143,4565,934
OTP,0,20140123,101149,4565,3144
OTP,0,20140123,101151,4565,856
OTP,0,20140123,101153,4565,4000
OTP,0,20140123,101158,4565,1500
OTP,0,20140123,101159,4565,944
OTP,0,20140123,101200,4567,175
OTP,0,20140123,101220,4565,556
OTP,0,20140123,101223,4565,444
OTP,0,20140123,101234,4565,1400
OTP,0,20140123,101311,4565,10
OTP,0,20140123,101425,4566,100
OTP,0,20140123,101445,4565,60
OTP,0,20140123,101452,4565,469
OTP,0,20140123,101454,4565,131
OTP,0,20140123,101511,4565,2169
OTP,0,20140123,101524,4565,1290
OTP,0,20140123,101531,4565,919
OTP,0,20140123,101532,4565,481
OTP,0,20140123,101534,4565,1400
OTP,0,20140123,101534,4562,100
OTP,0,20140123,101536,4565,1119
OTP,0,20140123,101540,4565,281
OTP,0,20140123,101545,4565,4719
OTP,0,20140123,101612,4565,1981
OTP,0,20140123,101616,4565,1700
OTP,0,20140123,101619,4565,1319
OTP,0,20140123,101623,4565,100
OTP,0,20140123,101627,4565,700
OTP,0,20140123,101643,4565,1000
OTP,0,20140123,101730,4565,2101
